deal_id,status,email_dominio,fonte_rd,utm_source_rd,tem_fbclid,tem_gclid,meetime,meetime_desde,classe
460535,won,gmail.com,portal_cardapioweb_com,portal.cardapioweb.com,0,0,s,2026-07-13T18:21:06.221Z,recuperado_rd_portal_cardapioweb_com
460557,lost,yahoo.com,portal_cardapioweb_com,portal.cardapioweb.com,0,0,s,2026-07-12T21:44:06.531Z,recuperado_rd_portal_cardapioweb_com
460561,won,gmail.com,seo,,0,0,s,2025-04-02T01:15:00.991Z,recuperado_rd_seo
460562,won,cardapioweb.com,,,0,0,n,,escuro
460565,lost,gmail.com,direto,direto,0,0,s,2026-07-08T15:47:08.240Z,recuperado_rd_direto
460625,won,gmail.com,,,0,0,s,2026-07-15T12:58:07.830Z,so_meetime
460633,won,gmail.com,,,0,0,n,,escuro
460638,lost,INVALIDO,,,0,0,n,,sem_email
460650,lost,INVALIDO,,,0,0,n,,sem_email
460652,lost,gmail.com,,,0,0,n,,escuro
460658,lost,gmail.com,google,www.google.com,0,0,s,2026-07-14T14:45:29.953Z,recuperado_rd_google
460660,won,cafecantodasaguas.com.br,direto,direto,0,0,s,2026-07-13T20:58:56.025Z,recuperado_rd_direto
460674,open,dimercatto.com.br,google,www.google.com,0,0,s,2026-07-10T22:17:53.124Z,recuperado_rd_google
460678,lost,INVALIDO,,,0,0,n,,sem_email
460699,won,gmail.com,,,0,0,n,,escuro
460703,won,hotmail.com,,,0,0,n,,escuro
460709,open,gmail.com,google,www.google.com,0,0,s,2026-07-08T13:31:01.542Z,recuperado_rd_google
460716,lost,gmail.com,google,google,0,1,s,2026-07-08T15:49:00.474Z,recuperado_rd_google
460717,won,grupoalavanca.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-15T13:40:30.935Z,recuperado_rd_cardapioweb_com
460718,lost,gmail.com,google,www.google.com,0,0,s,2026-07-15T17:10:47.803Z,recuperado_rd_google
460738,open,gmail.com,meta,meta,1,0,s,2026-07-13T19:09:59.568Z,recuperado_rd_meta
460755,won,sp2d.com.br,google,google,0,1,s,2026-04-26T13:20:16.447Z,recuperado_rd_google
460758,won,hotmail.com,google,www.google.com,0,0,s,2026-07-08T00:42:27.205Z,recuperado_rd_google
460760,won,gmail.com,google,www.google.com,0,0,s,2026-07-08T22:17:05.095Z,recuperado_rd_google
460766,open,gmail.com,,,0,0,s,2022-12-04T20:23:58.643Z,so_meetime
460771,lost,gmail.com,google,google,0,1,s,2026-07-08T15:49:00.474Z,recuperado_rd_google
460787,won,hotmail.com,direto,direto,0,0,s,2026-03-21T16:07:14.284Z,recuperado_rd_direto
460791,won,gmail.com,www_bing_com,www.bing.com,0,0,s,2026-07-09T19:25:58.725Z,recuperado_rd_www_bing_com
460794,won,gmail.com,,,0,0,n,,escuro
460812,won,gmail.com,meta,meta,0,0,s,2026-07-04T18:27:44.464Z,recuperado_rd_meta
460827,won,gmail.com,direto,direto,0,0,s,2026-02-04T21:20:07.992Z,recuperado_rd_direto
460834,lost,gmail.com,direto,direto,0,0,s,2026-07-10T17:43:07.368Z,recuperado_rd_direto
460835,won,yahoo.com,portal_cardapioweb_com,portal.cardapioweb.com,0,0,s,2026-07-12T21:44:06.531Z,recuperado_rd_portal_cardapioweb_com
460870,lost,INVALIDO,,,0,0,n,,sem_email
460879,open,gmail.com,google,www.google.com,0,0,s,2026-07-16T00:26:35.685Z,recuperado_rd_google
460883,won,gmail.com,,,0,0,n,,escuro
460891,lost,cardapioweb.com,,,0,0,n,,escuro
460895,won,gmail.com,google,google,0,1,s,2026-07-14T17:43:15.863Z,recuperado_rd_google
460917,open,hotmail.com,,,0,0,s,2026-07-16T13:56:56.695Z,so_meetime
460948,open,gmail.com.com,www_youtube_com,www.youtube.com,0,0,s,2026-07-13T16:17:08.309Z,recuperado_rd_www_youtube_com
460972,won,gmail.com,,,0,0,s,2026-07-16T17:06:00.183Z,so_meetime
460975,open,gmail.com,direto,direto,0,0,s,2026-07-10T17:43:07.368Z,recuperado_rd_direto
460979,open,gmail.com,direto,direto,0,0,s,2026-07-15T16:24:40.041Z,recuperado_rd_direto
460980,open,hotmail.com,,,0,0,s,2026-02-26T15:28:54.795Z,so_meetime
460982,lost,gmail.com,direto,direto,0,0,s,2026-07-16T01:23:40.156Z,recuperado_rd_direto
460986,open,,,,0,0,n,,sem_email
460992,won,gmail.com,www_bing_com,www.bing.com,0,0,s,2026-07-07T18:20:58.390Z,recuperado_rd_www_bing_com
460994,lost,gmail.com,seo,,0,0,s,2026-07-11T00:48:25.755Z,recuperado_rd_seo
461001,open,,,,0,0,n,,sem_email
461002,open,hotmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-15T12:58:51.265Z,recuperado_rd_cardapioweb_com
461004,won,outlook.com,www_bing_com,www.bing.com,0,0,s,2026-06-03T20:59:56.614Z,recuperado_rd_www_bing_com
461010,won,gmail.com,direto,,0,0,s,2026-07-15T20:01:07.594Z,recuperado_rd_direto
